Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk,Rmax,Rhalf_split,fDM_inner_half_mean,fDM_outer_half_mean,n_inner_half,n_outer_half,fDM_outer_minus_inner_half,fDM_inner_Reff_mean,fDM_outer_Reff_mean,n_inner_Reff,n_outer_Reff,fDM_outer_minus_inner_Reff
NGC5055,0.5066819223061965,0.5371454164413196,0.0,28,11.169,11.214,0.018,3.99,1.11,4.18,3.2,1383.02,1,-0.7190860657772631,-0.8475658026827287,54.59,27.295,-0.6370570694240126,0.42831490696065105,18,10,1.0653719763846636,-1.0,-0.09495122521850943,5.0,23.0,0.9050487747814906
NGC5371,0.0101557314368162,0.215422614560603,0.0,19,11.659,11.607,0.002,3.63,0.89,9.8,7.44,560.83,1,-0.5255852581321577,-0.54770779825303,46.24,23.12,-0.3644451819544903,-0.14922307984054545,10,9,0.21522210211394488,-0.25400393423531586,-0.2664181486690705,6.0,13.0,-0.012414214433754622
NGC5585,0.7044524880600092,0.7157829727389657,0.0,24,9.487,9.222,0.008,2.78,0.54,2.27,1.53,90.54,1,0.3978852778041435,0.3569110149813471,10.96,5.48,-0.17177649592793381,0.6525743171771414,15,9,0.8243508131050752,-0.3579394577766308,0.5564504193244773,11.0,13.0,0.9143898771011081
NGC5985,0.5414441152772725,0.5562156897506926,0.0362503702294004,33,11.303,11.286,0.005,3.73,0.96,10.71,7.01,288.95,1,0.443525869987968,0.3940029669955515,34.72,17.36,0.48288556175385816,0.47196006383257716,19,14,-0.010925497921281002,0.5387004925111438,0.45196789747251936,10.0,23.0,-0.08673259503862446
NGC6015,0.6856681051126033,0.7252838469529086,0.0,44,10.534,10.424,0.004,3.38,0.78,3.92,2.3,331.76,2,0.1045547726276563,-0.0060121245431687,29.23,14.615,0.1563651414957761,0.6419827055916257,26,18,0.48561756409584966,0.14240856510398753,0.42589964131501756,11.0,33.0,0.28349107621103004
NGC6195,0.0848804588552319,0.15465471115077,0.2437280147982806,23,11.741,11.509,0.005,3.05,0.59,9.52,13.94,686.8,1,-0.3057103546615782,0.0443160394852652,36.43,18.215,-0.4555056061876102,-0.07217046027661939,17,6,0.3833351459109908,-0.5039699220318278,-0.2600634834687599,9.0,14.0,0.24390643856306787
NGC6503,0.7421907351256374,0.7709886049149338,0.0,31,10.084,9.823,0.002,2.32,0.55,1.62,2.16,774.16,1,-0.2339531532298205,0.1523741626797449,23.5,11.75,0.1672957666968535,0.6959095560458006,15,16,0.5286137893489471,-0.18458953411789514,0.4832127057041863,2.0,29.0,0.6678022398220814
NGC6674,0.7063291783789998,0.7407647940714432,0.0664150090207365,15,11.352,11.09,0.007,2.44,0.55,7.75,6.04,560.83,1,0.2870074586465301,0.284108230831894,72.41,36.205,0.28549348374045463,0.6289737096480406,7,8,0.3434802259075859,0.12152852637490119,0.5220913085090543,2.0,13.0,0.4005627821341531
NGC7331,0.3082511643105204,0.4019179189322788,0.0399711998071924,36,11.371,11.191,0.004,4.44,0.66,3.99,5.02,2470.76,1,-0.8175817028689142,-0.529412431210223,36.31,18.155,-0.6924714812984082,0.16744926401429422,19,17,0.8599207453127025,-1.0,-0.2215248683765683,3.0,33.0,0.7784751316234317
NGC7793,0.3642825111233987,0.3404894210056474,0.0,46,9.815,9.569,0.012,3.0,0.57,2.19,1.21,233.79,1,0.3293986688211756,0.0111997634930566,7.87,3.935,-0.17548456913913948,0.3475001628378122,36,10,0.5229847319769517,-0.2641288698591554,0.201245387785357,26.0,20.0,0.4653742576445124
NGC7814,0.561841545986549,0.6151687439951088,0.6305555430690861,18,10.867,10.686,0.003,4.34,0.66,2.08,2.54,2709.13,1,-0.1961403240406324,-0.015433280156888,19.53,9.765,-0.13545211399412432,0.4883008399894895,9,9,0.6237529539836137,-0.6282664668511216,0.2770107167287831,2.0,16.0,0.9052771835799047
UGC02023,0.4083023390437771,0.5038603996020177,0.0,5,9.091,8.829,0.027,2.35,0.55,2.73,1.55,27.59,2,,0.4095764465178871,3.78,1.89,-0.32879550979683136,0.27049452752307346,2,3,0.5992900373199048,-0.22090403837066552,0.4083023390437771,3.0,2.0,0.6292063774144426
UGC02259,0.7482802812199264,0.7795334197530864,0.0,8,9.293,9.047,0.018,3.0,0.57,2.4,1.62,47.08,2,0.7040933878030504,0.702342565477093,8.14,4.07,0.7502813592357672,0.7285542512092398,3,5,-0.021727108026527442,0.7664973725585777,0.7267700981060575,2.0,6.0,-0.03972727445252022
