row_index,CID,IDSURVEY,RA,DEC,zHD,zCMB,environment_method,catalog_source,environment_label,void_label,filament_label,nearest_void_id,nearest_void_sample,nearest_void_distance_mpc_h,nearest_void_radius_mpc_h,void_distance_over_radius,nearest_filament_id,nearest_filament_point_id,nearest_filament_distance_mpc_h,coverage_flag,notes
382,2003it,63,1.452,27.4527,0.0251,0.02413,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,39938,bright1,315.06772285417384,19.25,16.367154433983057,7297,187258,37.30217538206348,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
383,2007cq,57,333.668,5.0803,0.0251,0.02481,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,82.56689418460459,4.24,19.47332410014259,8508,203886,60.32091399274709,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
384,AT2017cfc,150,208.163,-2.0022,0.02512,0.02499,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,1450,dim1,19.25412706667425,5.31,3.6260126302588045,9580,217330,62.61807893451791,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
385,2011dn,56,299.648,2.6045,0.02513,0.02443,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,76.92246154584096,4.24,18.14208998722664,8750,206904,83.02933093054135,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
386,2007sw,65,183.404,46.4934,0.02517,0.025,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,10311,dim1,15.111525900753312,6.72,2.2487389733263856,2779,98194,48.94049602698034,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
387,2012bh,51,183.406,46.4835,0.02517,0.025,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,10311,dim1,15.120690409893749,6.72,2.2501027395675224,2779,98194,48.93537403126326,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
388,370356,15,183.406,46.4835,0.02517,0.025,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,10311,dim1,15.120690409893749,6.72,2.2501027395675224,2779,98194,48.93537403126326,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
389,2002he,57,124.995,62.8203,0.02519,0.02469,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,10311,dim1,31.404329524563906,6.72,4.673263322107724,12276,247896,42.937273406063525,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
390,2002he,63,124.995,62.8203,0.02519,0.02469,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,10311,dim1,31.404329524563906,6.72,4.673263322107724,12276,247896,42.937273406063525,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
391,2018jjd,18,66.0835,-31.9874,0.02521,0.02547,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,34147,bright2,447.7380158773571,23.91,18.725973060533548,11176,236230,5.654044244249813,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
