galaxy,fdm_outer_mean,age_literature,age_combined_proxy,age_best,age_source,SB0_disk_Lpc2,Vmax_kms,Rmax_kpc
UGC08286,0.8459741948112726,,6.036934415548662,6.036934415548662,proxy,82.49,84.3,8.04
UGC06818,0.7902848846646685,,6.0741590242268915,6.0741590242268915,proxy,76.66,74.4,6.98
NGC4183,0.7903429324591204,,6.092458042642633,6.092458042642633,proxy,160.21,115.0,21.02
F563-V2,0.8328668854187676,,6.100900524294097,6.100900524294097,proxy,68.0,118.0,10.47
F574-1,0.7936518549535426,,6.137791152973741,6.137791152973741,proxy,104.59,99.7,12.6
UGC00191,0.749905723369797,,6.170129986821248,6.170129986821248,proxy,93.29,83.85,9.98
NGC3198,0.8076206254585796,6.2,4.8626461510599714,6.2,literature,1084.92,157.0,44.08
UGC06399,0.7958434881603033,,6.202602002655302,6.202602002655302,proxy,60.4,87.6,7.85
NGC1003,0.8672730283500556,,6.217685708627084,6.217685708627084,proxy,175.71,115.0,30.24
UGC06983,0.7859719676270132,,6.25987005238907,6.25987005238907,proxy,98.9,113.0,15.68
UGC08550,0.830645780131019,,6.261908848476451,6.261908848476451,proxy,58.85,57.8,5.36
F583-4,0.7942976463422169,,6.267059515691095,6.267059515691095,proxy,69.18,69.9,7.29
UGC02259,0.8316756025491391,,6.29289882161955,6.29289882161955,proxy,54.4,90.0,8.14
F568-V1,0.8592599437490689,,6.311182840793636,6.311182840793636,proxy,99.83,118.0,17.63
UGC07866,0.6699254975381281,,6.32532508362586,6.32532508362586,proxy,34.04,33.1,2.32
UGC06446,0.8074285655382315,,6.348626295703246,6.348626295703246,proxy,74.79,84.9,10.22
UGC07089,0.7014412879139381,,6.38434302984889,6.38434302984889,proxy,68.02,79.1,9.16
ESO444-G084,0.9022686848362378,,6.394709108327011,6.394709108327011,proxy,31.29,63.1,4.44
UGC06930,0.724067571159122,,6.418297363435469,6.418297363435469,proxy,88.43,109.0,16.61
UGC04499,0.7200766951249135,,6.421697996454669,6.421697996454669,proxy,60.69,74.3,8.18
IC2574,0.7783015890642534,6.5,7.678710306541612,6.5,literature,16.75,67.5,10.23
UGC04305,0.0426324862526029,,6.533780951042096,6.533780951042096,proxy,73.77,37.3,5.52
UGC10310,0.6971832679435308,,6.5443624693013245,6.5443624693013245,proxy,48.94,73.2,7.74
UGC07559,0.6558793249071696,,6.555008758087128,6.555008758087128,proxy,30.89,32.1,2.53
NGC2366,0.6779061999090706,,6.567908632819892,6.567908632819892,proxy,51.7,53.7,6.06
F568-3,0.7958503053062861,,6.610334555677019,6.610334555677019,proxy,67.54,120.0,17.98
UGC07524,0.7132084398655824,,6.644669044850091,6.644669044850091,proxy,54.27,83.8,10.69
UGC08837,0.6353856491008817,,6.651113990600824,6.651113990600824,proxy,32.26,48.0,4.2
UGC11820,0.7776201034682009,,6.666811530911911,6.666811530911911,proxy,76.79,84.45,15.82
CamB,0.3512575646988705,,6.719078942207913,6.719078942207913,proxy,30.32,20.1,1.79
NGC0055,0.6986520578016792,,6.7489517079744985,6.7489517079744985,proxy,58.0,87.4,13.5
UGC01230,0.7697313967322059,,6.774652095917473,6.774652095917473,proxy,94.32,113.0,36.54
UGC07608,0.8645937423610638,,6.793760488797399,6.793760488797399,proxy,17.85,69.3,4.78
NGC2903,0.7396972693631731,6.8,2.9394144836652805,6.8,literature,7393.57,216.0,24.96
UGC06628,0.0593294267558638,,6.804917441419258,6.804917441419258,proxy,62.46,42.3,7.69
UGC01281,0.8279218938906462,,6.835501740842529,6.835501740842529,proxy,25.4,56.9,4.99
UGC09992,0.531160131310552,,6.83984383512521,6.83984383512521,proxy,36.38,34.3,3.89
UGC05764,0.8216309046568518,,6.849565569684885,6.849565569684885,proxy,14.8,55.8,3.62
NGC6503,0.8588432990050227,6.9,4.875418421000577,6.9,literature,834.73,121.0,23.5
UGC06614,0.7611882779629084,,6.903948139683164,6.903948139683164,proxy,78.56,205.0,64.59
UGC12732,0.7810995597043643,,6.961278557690545,6.961278557690545,proxy,44.6,98.0,15.4
PGC51017,0.0754407758261127,,7.046431557795804,7.046431557795804,proxy,44.45,20.5,3.63
F561-1,0.2905654855971699,,7.106183173465285,7.106183173465285,proxy,43.88,50.4,9.66
UGC12632,0.7581416439391854,,7.124206917116654,7.124206917116654,proxy,33.37,73.2,10.66
UGC05005,0.8152788301072795,,7.157976799476673,7.157976799476673,proxy,53.49,100.0,28.61
D631-7,0.8932171448409291,,7.168943353853777,7.168943353853777,proxy,26.06,58.5,7.19
UGC07125,0.5845650783109699,,7.174141042943324,7.174141042943324,proxy,52.23,65.6,18.68
NGC0247,0.7855989344460195,7.2,6.542011378279245,7.2,literature,66.02,108.0,14.54
F563-1,0.8801459698313527,,7.269032620272145,7.269032620272145,proxy,33.42,112.5,20.1
